\
\ strid, ra1, dec1, ra2, dec2, ra1_err, dec1_err, corr1, ra2_err, dec2_err, corr2, start_mjd, end_mjd, flux, bg, length, sigma, length_err, sigma_err, pa_err, bg_err, fit_mag_err, ap_snr, ap_mag_err, dmag, dmag_err, chi2, numfit, prob
\ null, deg, deg, deg, deg, deg, deg, null, deg, deg, null, days, days, dn, dn, pixels, pixels, pixels, pixels, deg, dn, mag, null, mag, mag, mag, null, null, null
\
40, 163.687668927, 10.3915842354, 163.691639854, 10.3885289779, 0.000247613090027, 0.000240761645318, 0.922684975019, 0.000247439167363, 0.000240560565799, 0.922499930401, 58153.4368403, 58153.4371875, 404.679802185, 13.2019074638, -17.6265510094, 0.832166247866, 1.75338976332, 0.198195465937, 0.0413482646458, 0.26474571272, 0.240962077994, 5.00064250098, 0.217119341074, -0.0729812317634, 0.32435093849, 1.24373346804, 8, 0.000000
41, 163.665176446, 10.3896452269, 163.663843238, 10.3817738327, 0.000116154979792, 0.000118414720544, 0.400157099742, 0.000112971761051, 0.000116278895165, 0.248839382926, 58153.4368403, 58153.4371875, 382.560187396, 16.4517221419, 28.3664004509, 0.508884147322, 0.825496136943, 0.0587253384383, 0.0071436091302, 0.0721011600036, 0.110272743847, 5.64154380049, 0.192453740174, 0.0802536756233, 0.221807394246, 1.255285767, 0, 0.000000
42, 163.656841323, 10.3832458221, 163.651673707, 10.3809025757, 2.68105730333e-05, 2.82393629301e-05, 0.499867116835, 3.81032941706e-05, 3.84084128305e-05, 0.876062852918, 58153.4368403, 58153.4371875, 325.575922065, 16.0227509184, 19.8962558939, 0.251480510856, 0.233735196948, 0.00959118834418, 0.00178579501725, 0.0260619135636, 0.0352923138608, 9.90212171001, 0.109646824848, 0.352304685468, 0.115186690276, 1.22951040882, 0, 0.000000
43, 163.719944759, 10.375786707, 163.714489485, 10.3743031109, 0.000110937260125, 0.000108630119129, 0.461605963863, 0.000114912936037, 0.000110929146137, 0.517635836621, 58153.4368403, 58153.4371875, 392.772544508, 14.7014458601, 19.7895299624, 0.554020153692, 0.796670022341, 0.0656526456058, 0.0119551068607, 0.120424201785, 0.116336063899, 7.11749581083, 0.152544691787, 0.183872262217, 0.191843589301, 1.11837619361, 4, 0.000000
44, 163.697225653, 10.3735062372, 163.696030657, 10.3665265827, 5.47875494667e-05, 5.625573137e-05, 0.205325736216, 5.75259510584e-05, 6.00534028987e-05, 0.458965451777, 58153.4368403, 58153.4371875, 348.833938445, 15.9776574829, 25.1604166508, 0.427301340763, 0.406947576189, 0.0327727008791, 0.00496996077334, 0.0424917390844, 0.0741351846817, 4.71356187578, 0.230343047015, -0.188211109774, 0.241979224141, 1.1615247402, 2, 0.000000
45, 163.744720139, 10.3607640955, 163.729781544, 10.3624973584, 0.00295626755948, 0.00261084981426, 0.737874249849, 0.00260715687085, 0.00220987492371, 0.459673863571, 58153.4368403, 58153.4371875, 2420.61084031, 14.7482034796, 52.595220988, 6.08856175343, 19.4271269386, 2.16638655701, 0.16390290323, 0.267861983524, 0.502166638214, 7.91710694588, 0.137137999042, -0.0935976880964, 0.520555629415, 1.28051031125, 0, 0.000000
46, 163.753277552, 10.3556808487, 163.752685711, 10.3603579029, 0.00053588247463, 0.00074062731362, 0.407810889168, 0.000498367893882, 0.000726214502947, 0.0151295895999, 58153.4368403, 58153.4371875, 1222.37676386, 12.3951201233, 16.754174197, 3.08552896312, 4.95900421145, 0.978510666582, 0.239667431534, 0.904688836794, 0.441067117549, 12.2981140348, 0.0882847729078, -0.0973818940485, 0.449815966046, 1.22101137188, 0, 0.000000
47, 163.767489877, 10.3521118751, 163.76539502, 10.3578044351, 0.000142337412636, 0.000146611870034, 0.608036528194, 0.00014265254648, 0.000146766701085, 0.612359769111, 58153.4368403, 58153.4371875, 493.907739448, 12.0161050468, 21.5207262015, 0.660929944758, 1.03488940203, 0.0950208483437, 0.015922856168, 0.178731246251, 0.142793546081, 9.72146433732, 0.111684430152, 0.334698114947, 0.18128267634, 1.28117537306, 0, 0.000000
48, 163.898400407, 10.3108754067, 163.894971351, 10.3129868474, 2.34453868219e-05, 2.29432719023e-05, 0.0757113382522, 6.82420439539e-05, 6.76123813951e-05, 0.988725281833, 58153.4368403, 58153.4371875, 236.436130117, 11.4168140577, 14.1472201254, 0.238303630922, 0.36017081626, 0.0183680051578, 0.00473135310262, 0.106014867214, 0.0730346132978, 7.26619281825, 0.149422982835, -0.0135609608911, 0.166316813759, 1.09895301192, 0, 0.000000
49, 163.988829697, 9.99462954396, 163.985595851, 9.99799836746, 0.000216291852229, 0.000214061379567, 0.961411049543, 0.000205400357075, 0.000202975828577, 0.957017672259, 58153.4368403, 58153.4371875, 272.495437983, 9.76208320035, 16.4849670495, 0.576499284997, 1.50237963093, 0.147970200679, 0.0321574918963, 0.305841686425, 0.255647317788, 5.79906752734, 0.187225997911, 0.0929192934242, 0.31687398976, 1.22783691212, 3, 0.000000
50, 163.319236613, 9.97568994764, 163.31455885, 9.96700929915, 0.000775852099524, 0.000788723725322, 0.979831893432, 0.000342290514298, 0.000343513490549, 0.082425623129, 58153.4368403, 58153.4371875, 380.525074546, 13.2479586218, 34.9657135664, 0.332050466817, 4.29724903669, 0.107328505568, 0.0105274969471, 0.374390296036, 0.320570053901, 6.82063269499, 0.159184089411, 0.0187998886281, 0.357917216378, 1.12936793037, 0, 0.000000
51, 163.357467928, 9.96271210997, 163.350666056, 9.96706561965, 0.000118415398148, 0.000116965207946, 0.532602431914, 0.000504874010219, 0.000498292128363, 0.998707901235, 58153.4368403, 58153.4371875, 271.149679699, 15.4925668032, 28.411332466, 0.196347994169, 2.59839692574, 0.0184166820222, 0.00199033004463, 0.0763348986138, 0.119569741655, 6.41937529335, 0.169134246736, 0.0265545511912, 0.207131157817, 1.22769817616, 1, 0.000000
52, 163.257687225, 9.95741092001, 163.255200339, 9.95125520884, 0.000268298990825, 0.00027717754767, 0.719930767529, 0.000255819767397, 0.000265956111996, 0.648590964919, 58153.4368403, 58153.4371875, 252.893039469, 16.8341203086, 23.574774879, 0.534715504097, 1.90922185738, 0.137299753042, 0.0211347664447, 0.18377641891, 0.25438557388, 6.29159175021, 0.17256939863, 0.619757732803, 0.307395864549, 1.274935906, 0, 0.000000
